Province,Entry_Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
Alberta,12/19/2020,89993,1306,851,10,777,18,0.946,0.766
Northwest Territories,12/19/2020,24,0,0,0,0,0,0,0
New Brunswick,12/19/2020,574,1,8,0,3,0,1.394,0
Saskatchewan,12/19/2020,13329,252,115,8,127,6,0.863,3.175
Yukon,12/19/2020,69,0,1,0,0,0,1.449,0
Manitoba,12/19/2020,22642,240,583,4,378,0,2.575,1.667
Ontario,12/19/2020,157823,2276,4245,37,896,13,2.69,1.626
British Columbia,12/19/2020,46932,579,724,0,356,0,1.543,0
Nova Scotia,12/19/2020,1443,2,65,0,0,0,4.505,0
Newfoundland and Labrador,12/19/2020,380,8,4,0,1,0,1.053,0
Prince Edward Island,12/19/2020,91,1,0,0,0,0,0,0
Nunavut,12/19/2020,259,0,0,0,0,0,0,0
Prince Edward Island,12/20/2020,91,0,0,0,0,0,0,0
New Brunswick,12/20/2020,574,0,8,0,3,0,1.394,0
Quebec,12/20/2020,170704,2165,7348,31,1011,6,4.305,1.432
Northwest Territories,12/20/2020,24,0,0,0,0,0,0,0
Nunavut,12/20/2020,259,0,1,1,0,0,0.386,0
Manitoba,12/20/2020,22865,223,593,10,378,0,2.593,4.484
British Columbia,12/20/2020,47435,503,724,0,356,0,1.526,0
Ontario,12/20/2020,160161,2338,4280,35,899,3,2.672,1.497
Nova Scotia,12/20/2020,1445,2,65,0,0,0,4.498,0
Newfoundland and Labrador,12/20/2020,382,2,4,0,1,0,1.047,0
Yukon,12/20/2020,69,0,1,0,0,0,1.449,0
Nova Scotia,12/21/2020,1447,2,65,0,0,0,4.492,0
Manitoba,12/21/2020,23033,168,599,6,382,4,2.601,3.571
Ontario,12/21/2020,162323,2162,4318,38,942,43,2.66,1.758
Nunavut,12/21/2020,262,3,1,0,0,0,0.382,0
Northwest Territories,12/21/2020,24,0,0,0,0,0,0,0
Newfoundland and Labrador,12/21/2020,382,0,4,0,1,0,1.047,0
Saskatchewan,12/21/2020,13761,206,122,4,131,8,0.887,1.942
Quebec,12/21/2020,172700,1996,7382,34,1049,38,4.274,1.703
Prince Edward Island,12/21/2020,91,0,0,0,0,0,0,0
New Brunswick,12/21/2020,578,4,8,0,3,0,1.384,0
Alberta,12/21/2020,92296,1052,871,11,795,35,0.944,1.046
Yukon,12/21/2020,69,0,1,0,0,0,1.449,0
