Date,Province,Cumulative number of people (Vaccinedose1),Cumulative percent of people (Vaccinedose1)
2020-12-19,Newfoundland and Labrador,972,0
2020-12-19,Nova Scotia,1092,0
2020-12-19,Quebec,4728,0
2020-12-19,Manitoba,894,0
2020-12-19,Saskatchewan,1048,0
2020-12-19,British Columbia,3634,0
2020-12-19,Yukon,0,0
2020-12-19,Northwest Territories,0,0
2020-12-19,Nunavut,0,0
2020-12-26,Newfoundland and Labrador,1785,0
2020-12-26,Prince Edward Island,1152,0
2020-12-26,Nova Scotia,2218,0
2020-12-26,New Brunswick,2606,0
2020-12-26,Quebec,17221,0
2020-12-26,Manitoba,2177,0
2020-12-26,Saskatchewan,1782,0
2020-12-26,Alberta,4792,0
2020-12-26,British Columbia,12447,0
2020-12-26,Yukon,0,0
2020-12-26,Northwest Territories,0,0
2020-12-26,Nunavut,0,0
2021-01-02,Newfoundland and Labrador,1785,0
2021-01-02,Prince Edward Island,1674,1
2021-01-02,Nova Scotia,2720,0
2021-01-02,New Brunswick,2886,0
2021-01-02,Quebec,28310,0
2021-01-02,Manitoba,3432,0
2021-01-02,Saskatchewan,3540,0
2021-01-02,Alberta,13383,0
2021-01-02,British Columbia,24670,0
2021-01-02,Yukon,0,0
2021-01-02,Northwest Territories,130,0
2021-01-02,Nunavut,0,0
2021-01-09,Newfoundland and Labrador,2847,0
2021-01-09,Prince Edward Island,2485,1
2021-01-09,Nova Scotia,2755,0
2021-01-09,New Brunswick,6241,0
2021-01-09,Quebec,83298,1
2021-01-09,Manitoba,8694,0
2021-01-09,Saskatchewan,5528,0
2021-01-09,Alberta,44298,1
2021-01-09,British Columbia,60215,1
2021-01-09,Yukon,495,1
2021-01-09,Northwest Territories,511,1
2021-01-09,Nunavut,26,0
2021-01-16,Newfoundland and Labrador,4250,0
2021-01-16,Prince Edward Island,4308,2
2021-01-16,Nova Scotia,5740,0
2021-01-16,New Brunswick,7918,1
2021-01-16,Quebec,145783,1
2021-01-16,Ontario,189240,1
2021-01-16,Manitoba,16499,1
2021-01-16,Saskatchewan,14323,1
2021-01-16,Alberta,81859,1
