Province,Date,Sex,Age,Cummulative number of people (Vaccinedose1)
Canada,12/19/2020,All sexes,0–15,2
Canada,12/19/2020,All sexes,16–69,11766
Canada,12/19/2020,All sexes,70–74,174
Canada,12/19/2020,All sexes,75–79,85
Canada,12/19/2020,All sexes,80+,335
Canada,12/19/2020,All sexes,All ages,12368
Canada,12/19/2020,All sexes,Not reported,0
Canada,12/19/2020,All sexes,Unknown,6
Canada,12/19/2020,f,0–15,1
Canada,12/19/2020,f,16–69,8601
Canada,12/19/2020,f,70–74,94
Canada,12/19/2020,f,75–79,47
Canada,12/19/2020,f,80+,241
Canada,12/19/2020,f,All ages,8984
Canada,12/19/2020,f,Not reported,0
Canada,12/19/2020,f,Unknown,0
Canada,12/19/2020,m,0–15,1
Canada,12/19/2020,m,16–69,3157
Canada,12/19/2020,m,70–74,80
Canada,12/19/2020,m,75–79,38
Canada,12/19/2020,m,80+,94
Canada,12/19/2020,m,All ages,3370
Canada,12/19/2020,m,Not reported,0
Canada,12/19/2020,m,Unknown,0
Canada,12/19/2020,Unknown,0–15,0
Canada,12/19/2020,Unknown,16–69,8
Canada,12/19/2020,Unknown,70–74,0
Canada,12/19/2020,Unknown,75–79,0
Canada,12/19/2020,Unknown,80+,0
Canada,12/19/2020,Unknown,All ages,14
Canada,12/19/2020,Unknown,Not reported,0
Canada,12/19/2020,Unknown,Unknown,6
Canada,12/19/2020,Not reported,0–15,0
Canada,12/19/2020,Not reported,16–69,0
Canada,12/19/2020,Not reported,70–74,0
Canada,12/19/2020,Not reported,75–79,0
Canada,12/19/2020,Not reported,80+,0
Canada,12/19/2020,Not reported,All ages,0
Canada,12/19/2020,Not reported,Not reported,0
Canada,12/19/2020,Not reported,Unknown,0
Newfoundland and Labrador,12/19/2020,All sexes,0–15,0
Newfoundland and Labrador,12/19/2020,All sexes,16–69,964
Newfoundland and Labrador,12/19/2020,All sexes,70–74,7
Newfoundland and Labrador,12/19/2020,All sexes,75–79,1
Newfoundland and Labrador,12/19/2020,All sexes,80+,0
Newfoundland and Labrador,12/19/2020,All sexes,All ages,972
Newfoundland and Labrador,12/19/2020,All sexes,Not reported,0
Newfoundland and Labrador,12/19/2020,All sexes,Unknown,0
Newfoundland and Labrador,12/19/2020,f,0–15,0
Newfoundland and Labrador,12/19/2020,f,16–69,716
Newfoundland and Labrador,12/19/2020,f,70–74,2
Newfoundland and Labrador,12/19/2020,f,75–79,0
Newfoundland and Labrador,12/19/2020,f,80+,0
Newfoundland and Labrador,12/19/2020,f,All ages,718
Newfoundland and Labrador,12/19/2020,f,Not reported,0
Newfoundland and Labrador,12/19/2020,f,Unknown,0
Newfoundland and Labrador,12/19/2020,m,0–15,0
Newfoundland and Labrador,12/19/2020,m,16–69,247
Newfoundland and Labrador,12/19/2020,m,70–74,5
Newfoundland and Labrador,12/19/2020,m,75–79,1
Newfoundland and Labrador,12/19/2020,m,80+,0
